Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
4075,1,1,GT16C2P,GT16C2P-177,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/16/2016,MF,7/17/2017,MZ,
3952,1,1,GT16B2N,GT16B2N-55,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,10/21/2016,MZ,5/2/2017,MZ,
3985,1,1,GT16C2N,GT16C2N-88,2016,GT,2,GT2,42.32644,-83.70953,8/24/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/20/2016,MF,5/15/2017,MZ,
2235,1,1,E16D1N,E16D1N-136,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/6/2016,MZ,6/19/2017,MZ,Individual is small
2203,1,0,E16C1N,E16C1N-104,2016,E,1,E1,42.50159,-83.66593,7/27/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/2/2016,MZ,7/31/2017,MZ,
3461,1,1,E16D2N,E16D2N-102,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,5/18/2017,MZ,
3454,1,1,E16D2N,E16D2N-95,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,5/15/2017,MZ,
3469,1,0,E16D2N,E16D2N-110,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,6/27/2017,MZ,
3453,1,1,E16D2N,E16D2N-94,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/29/2016,MZ,7/6/2017,MZ,
3393,1,1,E16B2N,E16B2N-34,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/2/2017,MZ,
3367,1,1,E16A2N,E16A2N-8,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/2/2017,MZ,
3420,1,1,E16C2N,E16C2N-61,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,5/18/2017,MZ,
3443,1,0,E16D2N,E16D2N-84,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/29/2016,MZ,7/6/2017,MZ,
3441,1,0,E16D2N,E16D2N-82,2016,E,2,E2,42.50159,-83.66593,8/22/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/17/2016,MZ,7/31/2017,MZ,
2956,1,1,GT16C1N,GT16C1N-63,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/9/2016,ECC,5/2/2017,MZ,
2961,1,1,GT16C1N,GT16C1N-68,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/9/2016,ECC,5/11/2017,MZ,large orange lump on thorax( thorax section swelling up like a balloon)
3007,1,0,GT16D1N,GT16D1N-115,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/30/2016,MF,5/11/2017,MZ,
2964,1,0,GT16C1N,GT16C1N-71,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Apis,mellifera,APME,Female,11/9/2016,ECC,6/22/2017,MZ,
2982,1,0,GT16C1N,GT16C1N-89,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/10/2016,ECC,5/11/2017,MZ,
3005,1,1,GT16D1N,GT16D1N-113,2016,GT,1,GT1,42.32644,-83.70953,8/17/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/30/2016,MF,5/17/2017,MZ,
